lp,Residuo tipo,Kg,Origen,Comentarios,,,,,,,,,,,,,,,,
22/10/2020,Cartón segunda,1675,Recolección Diferenciada,,,,,,,,,,,,,,,,,
22/10/2020,Diario,142,Recolección Diferenciada,,,,,,,,,,,,,,,,,
22/10/2020,Revista,179,Recolección Diferenciada,,,,,,,,,,,,,,,,,
22/10/2020,Planilla blanca,524,Recolección Diferenciada,,,,,,,,,,,,,,,,,
22/10/2020,Vidrio,2893,Recolección Diferenciada,,,,,,,,,,,,,,,,,
22/10/2020,Tapitas,54,Recolección Diferenciada,,,,,,,,,,,,,,,,,
22/10/2020,Aluminio,249,Recolección Diferenciada,,,,,,,,,,,,,,,,,
22/10/2020,Plástico,530,Recolección Diferenciada,,,,,,,,,,,,,,,,,
22/10/2020,Nylon,150,Recolección Diferenciada,,,,,,,,,,,,,,,,,
22/10/2020,Hojalata,541,Recolección Diferenciada,,,,,,,,,,,,,,,,,
22/10/2020,Descarte,2570,Recolección Diferenciada,,,,,,,,,,,,,,,,,
22/10/2020,Rechazo (basura),16523,Recolección Diferenciada,,,,,,,,,,,,,,,,,
29/10/2020,Tetra,241,Recolección Diferenciada,,,,,,,,,,,,,,,,,
29/10/2020,Pet cristal,711,Recolección Diferenciada,,,,,,,,,,,,,,,,,
29/10/2020,Pet color,127,Recolección Diferenciada,,,,,,,,,,,,,,,,,
29/10/2020,Cartón,1953,Recolección Diferenciada,,,,,,,,,,,,,,,,,
29/10/2020,Cartón segunda,1546,Recolección Diferenciada,,,,,,,,,,,,,,,,,
29/10/2020,Diario,114,Recolección Diferenciada,,,,,,,,,,,,,,,,,
29/10/2020,Revista,234,Recolección Diferenciada,,,,,,,,,,,,,,,,,
29/10/2020,Planilla blanca,607,Recolección Diferenciada,,,,,,,,,,,,,,,,,
29/10/2020,Vidrio,2439,Recolección Diferenciada,,,,,,,,,,,,,,,,,
29/10/2020,Tapitas,57,Recolección Diferenciada,,,,,,,,,,,,,,,,,
29/10/2020,Aluminio,224,Recolección Diferenciada,,,,,,,,,,,,,,,,,
29/10/2020,Plástico,485,Recolección Diferenciada,,,,,,,,,,,,,,,,,
29/10/2020,Nylon,102,Recolección Diferenciada,,,,,,,,,,,,,,,,,
29/10/2020,Hojalata,574,Recolección Diferenciada,,,,,,,,,,,,,,,,,
29/10/2020,Descarte,2609,Recolección Diferenciada,,,,,,,,,,,,,,,,,
29/10/2020,Rechazo (basura),15246,Recolección Diferenciada,,,,,,,,,,,,,,,,,
4/11/2020,Tetra,44,Puntos Verdes,,,,,,,,,,,,,,,,,
4/11/2020,Pet cristal,179,Puntos Verdes,,,,,,,,,,,,,,,,,
4/11/2020,Pet color,26,Puntos Verdes,,,,,,,,,,,,,,,,,
4/11/2020,Cartón,122,Puntos Verdes,,,,,,,,,,,,,,,,,
4/11/2020,Cartón segunda,148,Puntos Verdes,,,,,,,,,,,,,,,,,
4/11/2020,Diario,17,Puntos Verdes,,,,,,,,,,,,,,,,,
4/11/2020,Revista,35,Puntos Verdes,,,,,,,,,,,,,,,,,
4/11/2020,Planilla blanca,110,Puntos Verdes,,,,,,,,,,,,,,,,,
4/11/2020,Vidrio,451,Puntos Verdes,,,,,,,,,,,,,,,,,
4/11/2020,Tapitas,41,Puntos Verdes,,,,,,,,,,,,,,,,,
4/11/2020,Aluminio,22,Puntos Verdes,,,,,,,,,,,,,,,,,
4/11/2020,Plástico,71,Puntos Verdes,,,,,,,,,,,,,,,,,
4/11/2020,Nylon,12,Puntos Verdes,,,,,,,,,,,,,,,,,
4/11/2020,Hojalata,43,Puntos Verdes,,,,,,,,,,,,,,,,,
4/11/2020,Rechazo (basura),279,Puntos Verdes,,,,,,,,,,,,,,,,,
5/11/2020,Tetra,337,Recolección Diferenciada,,,,,,,,,,,,,,,,,
5/11/2020,Pet cristal,665,Recolección Diferenciada,,,,,,,,,,,,,,,,,
5/11/2020,Pet color,129,Recolección Diferenciada,,,,,,,,,,,,,,,,,
5/11/2020,Cartón,2282,Recolección Diferenciada,,,,,,,,,,,,,,,,,
5/11/2020,Cartón segunda,1926,Recolección Diferenciada,,,,,,,,,,,,,,,,,
5/11/2020,Diario,122,Recolección Diferenciada,,,,,,,,,,,,,,,,,
5/11/2020,Revista,196,Recolección Diferenciada,,,,,,,,,,,,,,,,,
5/11/2020,Planilla blanca,585,Recolección Diferenciada,,,,,,,,,,,,,,,,,
5/11/2020,Vidrio,2776,Recolección Diferenciada,,,,,,,,,,,,,,,,,
5/11/2020,Tapitas,45,Recolección Diferenciada,,,,,,,,,,,,,,,,,
5/11/2020,Aluminio,251,Recolección Diferenciada,,,,,,,,,,,,,,,,,
5/11/2020,Plástico,616,Recolección Diferenciada,,,,,,,,,,,,,,,,,
5/11/2020,Nylon,93,Recolección Diferenciada,,,,,,,,,,,,,,,,,
5/11/2020,Hojalata,591,Recolección Diferenciada,,,,,,,,,,,,,,,,,
5/11/2020,Descarte,1549,Recolección Diferenciada,,,,,,,,,,,,,,,,,
5/11/2020,Rechazo (basura),18020,Recolección Diferenciada,,,,,,,,,,,,,,,,,
18/11/2020,Tetra,61,Puntos Verdes,,,,,,,,,,,,,,,,,
18/11/2020,Pet cristal,168,Puntos Verdes,,,,,,,,,,,,,,,,,
18/11/2020,Pet color,34,Puntos Verdes,,,,,,,,,,,,,,,,,
18/11/2020,Cartón,139,Puntos Verdes,,,,,,,,,,,,,,,,,
18/11/2020,Cartón segunda,164,Puntos Verdes,,,,,,,,,,,,,,,,,
18/11/2020,Diario,19,Puntos Verdes,,,,,,,,,,,,,,,,,
18/11/2020,Revista,57,Puntos Verdes,,,,,,,,,,,,,,,,,
18/11/2020,Planilla blanca,65,Puntos Verdes,,,,,,,,,,,,,,,,,
18/11/2020,Vidrio,610,Puntos Verdes,,,,,,,,,,,,,,,,,
18/11/2020,Tapitas,52,Puntos Verdes,,,,,,,,,,,,,,,,,
18/11/2020,Aluminio,21,Puntos Verdes,,,,,,,,,,,,,,,,,
18/11/2020,Plástico,86,Puntos Verdes,,,,,,,,,,,,,,,,,
18/11/2020,Hojalata,54,Puntos Verdes,,,,,,,,,,,,,,,,,
18/11/2020,Rechazo (basura),287,Puntos Verdes,,,,,,,,,,,,,,,,,
19/11/2020,Tetra,294,Recolección Diferenciada,,,,,,,,,,,,,,,,,
19/11/2020,Pet cristal,680,Recolección Diferenciada,,,,,,,,,,,,,,,,,
19/11/2020,Pet color,124,Recolección Diferenciada,,,,,,,,,,,,,,,,,
19/11/2020,Cartón,2222,Recolección Diferenciada,,,,,,,,,,,,,,,,,
19/11/2020,Cartón segunda,1921,Recolección Diferenciada,,,,,,,,,,,,,,,,,
19/11/2020,Diario,143,Recolección Diferenciada,,,,,,,,,,,,,,,,,
19/11/2020,Revista,189,Recolección Diferenciada,,,,,,,,,,,,,,,,,
19/11/2020,Planilla blanca,657,Recolección Diferenciada,,,,,,,,,,,,,,,,,
19/11/2020,Vidrio,3054,Recolección Diferenciada,,,,,,,,,,,,,,,,,
19/11/2020,Tapitas,35,Recolección Diferenciada,,,,,,,,,,,,,,,,,
19/11/2020,Aluminio,245,Recolección Diferenciada,,,,,,,,,,,,,,,,,
19/11/2020,Plástico,517,Recolección Diferenciada,,,,,,,,,,,,,,,,,
19/11/2020,Hojalata,452,Recolección Diferenciada,,,,,,,,,,,,,,,,,
19/11/2020,Descarte,1561,Recolección Diferenciada,,,,,,,,,,,,,,,,,
19/11/2020,Rechazo (basura),18251,Recolección Diferenciada,,,,,,,,,,,,,,,,,
26/11/2020,Tetra,130,Recolección Diferenciada,,,,,,,,,,,,,,,,,
26/11/2020,Pet cristal,164,Recolección Diferenciada,,,,,,,,,,,,,,,,,
26/11/2020,Pet color,71,Recolección Diferenciada,,,,,,,,,,,,,,,,,
26/11/2020,Cartón,1058,Recolección Diferenciada,,,,,,,,,,,,,,,,,
26/11/2020,Cartón segunda,638,Recolección Diferenciada,,,,,,,,,,,,,,,,,
26/11/2020,Diario,71,Recolección Diferenciada,,,,,,,,,,,,,,,,,
26/11/2020,Revista,126,Recolección Diferenciada,,,,,,,,,,,,,,,,,
26/11/2020,Planilla blanca,498,Recolección Diferenciada,,,,,,,,,,,,,,,,,
26/11/2020,Vidrio,1840,Recolección Diferenciada,,,,,,,,,,,,,,,,,
26/11/2020,Tapitas,20,Recolección Diferenciada,,,,,,,,,,,,,,,,,
26/11/2020,Aluminio,133,Recolección Diferenciada,,,,,,,,,,,,,,,,,
26/11/2020,Plástico,334,Recolección Diferenciada,,,,,,,,,,,,,,,,,
26/11/2020,Nylon,58,Recolección Diferenciada,,,,,,,,,,,,,,,,,
26/11/2020,Hojalata,337,Recolección Diferenciada,,,,,,,,,,,,,,,,,
26/11/2020,Descarte,1000,Recolección Diferenciada,,,,,,,,,,,,,,,,,
26/11/2020,Rechazo (basura),8178,Recolección Diferenciada,,,,,,,,,,,,,,,,,
3/12/2020,Tetra,251,Recolección Diferenciada,,,,,,,,,,,,,,,,,
3/12/2020,Pet cristal,725,Recolección Diferenciada,,,,,,,,,,,,,,,,,
3/12/2020,Pet color,126,Recolección Diferenciada,,,,,,,,,,,,,,,,,
3/12/2020,Cartón,2010,Recolección Diferenciada,,,,,,,,,,,,,,,,,
3/12/2020,Cartón segunda,1218,Recolección Diferenciada,,,,,,,,,,,,,,,,,
3/12/2020,Diario,149,Recolección Diferenciada,,,,,,,,,,,,,,,,,
3/12/2020,Planilla blanca,500,Recolección Diferenciada,,,,,,,,,,,,,,,,,
3/12/2020,Vidrio,2378,Recolección Diferenciada,,,,,,,,,,,,,,,,,
3/12/2020,Tapitas,68,Recolección Diferenciada,,,,,,,,,,,,,,,,,
3/12/2020,Aluminio,203,Recolección Diferenciada,,,,,,,,,,,,,,,,,
3/12/2020,Plástico,593,Recolección Diferenciada,,,,,,,,,,,,,,,,,
3/12/2020,Hojalata,461,Recolección Diferenciada,,,,,,,,,,,,,,,,,
3/12/2020,Descarte,956,Recolección Diferenciada,,,,,,,,,,,,,,,,,
3/12/2020,Rechazo (basura),14669,Recolección Diferenciada,,,,,,,,,,,,,,,,,
10/12/2020,Tetra,193,Recolección Diferenciada,,,,,,,,,,,,,,,,,
10/12/2020,Pet cristal,658,Recolección Diferenciada,,,,,,,,,,,,,,,,,
10/12/2020,Pet color,92,Recolección Diferenciada,,,,,,,,,,,,,,,,,
10/12/2020,Cartón,1757,Recolección Diferenciada,,,,,,,,,,,,,,,,,
10/12/2020,Cartón segunda,1156,Recolección Diferenciada,,,,,,,,,,,,,,,,,
10/12/2020,Diario,83,Recolección Diferenciada,,,,,,,,,,,,,,,,,
10/12/2020,Revista,112,Recolección Diferenciada,,,,,,,,,,,,,,,,,
10/12/2020,Planilla blanca,1299,Recolección Diferenciada,,,,,,,,,,,,,,,,,
10/12/2020,Vidrio,2527,Recolección Diferenciada,,,,,,,,,,,,,,,,,
10/12/2020,Tapitas,39,Recolección Diferenciada,,,,,,,,,,,,,,,,,
10/12/2020,Aluminio,153,Recolección Diferenciada,,,,,,,,,,,,,,,,,
10/12/2020,Plástico,446,Recolección Diferenciada,,,,,,,,,,,,,,,,,
10/12/2020,Hojalata,319,Recolección Diferenciada,,,,,,,,,,,,,,,,,
10/12/2020,Descarte,1377,Recolección Diferenciada,,,,,,,,,,,,,,,,,
10/12/2020,Rechazo (basura),11818,Recolección Diferenciada,,,,,,,,,,,,,,,,,
16/12/2020,Tetra,16,Puntos Verdes,,,,,,,,,,,,,,,,,
16/12/2020,Pet cristal,209,Puntos Verdes,,,,,,,,,,,,,,,,,
16/12/2020,Pet color,39,Puntos Verdes,,,,,,,,,,,,,,,,,
16/12/2020,Cartón,81,Puntos Verdes,,,,,,,,,,,,,,,,,
16/12/2020,Cartón segunda,135,Puntos Verdes,,,,,,,,,,,,,,,,,
16/12/2020,Diario,6,Puntos Verdes,,,,,,,,,,,,,,,,,
16/12/2020,Planilla blanca,65,Puntos Verdes,,,,,,,,,,,,,,,,,
16/12/2020,Vidrio,626,Puntos Verdes,,,,,,,,,,,,,,,,,
16/12/2020,Tapitas,33,Puntos Verdes,,,,,,,,,,,,,,,,,
16/12/2020,Aluminio,20,Puntos Verdes,,,,,,,,,,,,,,,,,
16/12/2020,Plástico,73,Puntos Verdes,,,,,,,,,,,,,,,,,
16/12/2020,Hojalata,80,Puntos Verdes,,,,,,,,,,,,,,,,,
16/12/2020,Rechazo (basura),421,Puntos Verdes,,,,,,,,,,,,,,,,,
17/12/2020,Tetra,115,Recolección Diferenciada,,,,,,,,,,,,,,,,,
17/12/2020,Pet cristal,326,Recolección Diferenciada,,,,,,,,,,,,,,,,,
17/12/2020,Pet color,45,Recolección Diferenciada,,,,,,,,,,,,,,,,,
17/12/2020,Cartón,1811,Recolección Diferenciada,,,,,,,,,,,,,,,,,
17/12/2020,Cartón segunda,460,Recolección Diferenciada,,,,,,,,,,,,,,,,,
17/12/2020,Planilla blanca,340,Recolección Diferenciada,,,,,,,,,,,,,,,,,
17/12/2020,Vidrio,1461,Recolección Diferenciada,,,,,,,,,,,,,,,,,
17/12/2020,Tapitas,38,Recolección Diferenciada,,,,,,,,,,,,,,,,,
17/12/2020,Aluminio,100,Recolección Diferenciada,,,,,,,,,,,,,,,,,
17/12/2020,Plástico,174,Recolección Diferenciada,,,,,,,,,,,,,,,,,
17/12/2020,Hojalata,233,Recolección Diferenciada,,,,,,,,,,,,,,,,,
17/12/2020,Descarte,1017,Recolección Diferenciada,,,,,,,,,,,,,,,,,
17/12/2020,Rechazo (basura),10269,Recolección Diferenciada,,,,,,,,,,,,,,,,,
30/12/2020,Tetra,66,Puntos Verdes,,,,,,,,,,,,,,,,,
30/12/2020,Pet cristal,275,Puntos Verdes,,,,,,,,,,,,,,,,,
30/12/2020,Pet color,40,Puntos Verdes,,,,,,,,,,,,,,,,,
30/12/2020,Cartón,156,Puntos Verdes,,,,,,,,,,,,,,,,,
30/12/2020,Cartón segunda,291,Puntos Verdes,,,,,,,,,,,,,,,,,
30/12/2020,Diario,20,Puntos Verdes,,,,,,,,,,,,,,,,,
30/12/2020,Planilla blanca,30,Puntos Verdes,,,,,,,,,,,,,,,,,
30/12/2020,Vidrio,20,Puntos Verdes,,,,,,,,,,,,,,,,,
30/12/2020,Tapitas,20,Puntos Verdes,,,,,,,,,,,,,,,,,
30/12/2020,Aluminio,27,Puntos Verdes,,,,,,,,,,,,,,,,,
30/12/2020,Plástico,104,Puntos Verdes,,,,,,,,,,,,,,,,,
30/12/2020,Hojalata,17,Puntos Verdes,,,,,,,,,,,,,,,,,
30/12/2020,Descarte,197,Puntos Verdes,,,,,,,,,,,,,,,,,
30/12/2020,Rechazo (basura),129,Puntos Verdes,,,,,,,,,,,,,,,,,
7/1/2021,Tetra,286,Recolección Diferenciada,Falta 1 Camion,,,,,,,,,,,,,,,,
7/1/2021,Pet cristal,1122,Recolección Diferenciada,,,,,,,,,,,,,,,,,
7/1/2021,Pet color,151,Recolección Diferenciada,,,,,,,,,,,,,,,,,
7/1/2021,Cartón,2443,Recolección Diferenciada,,,,,,,,,,,,,,,,,
7/1/2021,Cartón segunda,2252,Recolección Diferenciada,,,,,,,,,,,,,,,,,
7/1/2021,Diario,145,Recolección Diferenciada,,,,,,,,,,,,,,,,,
7/1/2021,Revista,187,Recolección Diferenciada,,,,,,,,,,,,,,,,,
7/1/2021,Planilla blanca,1068,Recolección Diferenciada,,,,,,,,,,,,,,,,,
7/1/2021,Vidrio,4020,Recolección Diferenciada,,,,,,,,,,,,,,,,,
7/1/2021,Tapitas,67,Recolección Diferenciada,,,,,,,,,,,,,,,,,
7/1/2021,Aluminio,272,Recolección Diferenciada,,,,,,,,,,,,,,,,,
7/1/2021,Plástico,774,Recolección Diferenciada,,,,,,,,,,,,,,,,,
7/1/2021,Nylon,35,Recolección Diferenciada,,,,,,,,,,,,,,,,,
7/1/2021,Telgopor,,Recolección Diferenciada,,,,,,,,,,,,,,,,,
7/1/2021,Hojalata,683,Recolección Diferenciada,,,,,,,,,,,,,,,,,
7/1/2021,Descarte,985,Recolección Diferenciada,,,,,,,,,,,,,,,,,
13/1/2021,Tetra,35,Puntos Verdes,,,,,,,,,,,,,,,,,
13/1/2021,Pet cristal,227,Puntos Verdes,,,,,,,,,,,,,,,,,
13/1/2021,Pet color,29,Puntos Verdes,,,,,,,,,,,,,,,,,
13/1/2021,Cartón,81,Puntos Verdes,,,,,,,,,,,,,,,,,
13/1/2021,Cartón segunda,96,Puntos Verdes,,,,,,,,,,,,,,,,,
13/1/2021,Planilla blanca,50,Puntos Verdes,,,,,,,,,,,,,,,,,
13/1/2021,Diario,7,Puntos Verdes,,,,,,,,,,,,,,,,,
13/1/2021,Revista,24,Puntos Verdes,,,,,,,,,,,,,,,,,
13/1/2021,Vidrio,635,Puntos Verdes,,,,,,,,,,,,,,,,,
13/1/2021,Aluminio,18,Puntos Verdes,,,,,,,,,,,,,,,,,
13/1/2021,Plástico,59,Puntos Verdes,,,,,,,,,,,,,,,,,
13/1/2021,Hojalata,37,Puntos Verdes,,,,,,,,,,,,,,,,,
13/1/2021,Rechazo (basura),223,Puntos Verdes,,,,,,,,,,,,,,,,,
14/1/2021,Tetra,113,Recolección Diferenciada,Faltan 2 camiones ,,,,,,,,,,,,,,,,
14/1/2021,Pet cristal,530,Recolección Diferenciada,,,,,,,,,,,,,,,,,
14/1/2021,Pet color,84,Recolección Diferenciada,,,,,,,,,,,,,,,,,
14/1/2021,Cartón,1369,Recolección Diferenciada,,,,,,,,,,,,,,,,,
14/1/2021,Cartón segunda,900,Recolección Diferenciada,,,,,,,,,,,,,,,,,
14/1/2021,Diario,72,Recolección Diferenciada,,,,,,,,,,,,,,,,,
14/1/2021,Revista,279,Recolección Diferenciada,,,,,,,,,,,,,,,,,
14/1/2021,Planilla blanca,411,Recolección Diferenciada,,,,,,,,,,,,,,,,,
14/1/2021,Vidrio,2417,Recolección Diferenciada,,,,,,,,,,,,,,,,,
14/1/2021,Tapitas,46,Recolección Diferenciada,,,,,,,,,,,,,,,,,
14/1/2021,Aluminio,178,Recolección Diferenciada,,,,,,,,,,,,,,,,,
14/1/2021,Plástico,185,Recolección Diferenciada,,,,,,,,,,,,,,,,,
14/1/2021,Nylon,,Recolección Diferenciada,,,,,,,,,,,,,,,,,
14/1/2021,Telgopor,,Recolección Diferenciada,,,,,,,,,,,,,,,,,
14/1/2021,Hojalata,303,Recolección Diferenciada,,,,,,,,,,,,,,,,,
14/1/2021,Descarte,996,Recolección Diferenciada,,,,,,,,,,,,,,,,,
14/1/2021,Rechazo (basura),9289,Recolección Diferenciada,,,,,,,,,,,,,,,,,
21/1/2021,Tetra,219,Recolección Diferenciada,Falto 1 Camion ,,,,,,,,,,,,,,,,
21/1/2021,Pet cristal,705,Recolección Diferenciada,,,,,,,,,,,,,,,,,
21/1/2021,Pet color,103,Recolección Diferenciada,,,,,,,,,,,,,,,,,
21/1/2021,Cartón,1610,Recolección Diferenciada,,,,,,,,,,,,,,,,,
21/1/2021,Cartón segunda,1084,Recolección Diferenciada,,,,,,,,,,,,,,,,,
21/1/2021,Diario,98,Recolección Diferenciada,,,,,,,,,,,,,,,,,
21/1/2021,Revista,152,Recolección Diferenciada,,,,,,,,,,,,,,,,,
21/1/2021,Planilla blanca,601,Recolección Diferenciada,,,,,,,,,,,,,,,,,
21/1/2021,Vidrio,2466,Recolección Diferenciada,,,,,,,,,,,,,,,,,
21/1/2021,Tapitas,29,Recolección Diferenciada,,,,,,,,,,,,,,,,,
21/1/2021,Aluminio,209,Recolección Diferenciada,,,,,,,,,,,,,,,,,
21/1/2021,Plástico,442,Recolección Diferenciada,,,,,,,,,,,,,,,,,
21/1/2021,Nylon,50,Recolección Diferenciada,,,,,,,,,,,,,,,,,
21/1/2021,Telgopor,,Recolección Diferenciada,,,,,,,,,,,,,,,,,
21/1/2021,Hojalata,371,Recolección Diferenciada,,,,,,,,,,,,,,,,,
21/1/2021,Descarte,465,Recolección Diferenciada,,,,,,,,,,,,,,,,,
21/1/2021,Rechazo (basura),13250,Recolección Diferenciada,,,,,,,,,,,,,,,,,
27/1/2021,Tetra,46,Puntos Verdes,,,,,,,,,,,,,,,,,
27/1/2021,Pet cristal,169,Puntos Verdes,,,,,,,,,,,,,,,,,
27/1/2021,Pet color,26,Puntos Verdes,,,,,,,,,,,,,,,,,
27/1/2021,Cartón,69,Puntos Verdes,,,,,,,,,,,,,,,,,
27/1/2021,Cartón segunda,127,Puntos Verdes,,,,,,,,,,,,,,,,,
27/1/2021,Diario,10,Puntos Verdes,,,,,,,,,,,,,,,,,
27/1/2021,Revista,20,Puntos Verdes,,,,,,,,,,,,,,,,,
27/1/2021,Planilla blanca,19,Puntos Verdes,,,,,,,,,,,,,,,,,
27/1/2021,Vidrio,846,Puntos Verdes,,,,,,,,,,,,,,,,,
27/1/2021,Tapitas,12,Puntos Verdes,,,,,,,,,,,,,,,,,
27/1/2021,Aluminio,20,Puntos Verdes,,,,,,,,,,,,,,,,,
27/1/2021,Plástico,71,Puntos Verdes,,,,,,,,,,,,,,,,,
27/1/2021,Nylon,19,Puntos Verdes,,,,,,,,,,,,,,,,,
27/1/2021,Hojalata,43,Puntos Verdes,,,,,,,,,,,,,,,,,
27/1/2021,Rechazo (basura),216,Puntos Verdes,,,,,,,,,,,,,,,,,
28/1/2021,Tetra,198,Recolección Diferenciada,Falta 1 camiòn,,,,,,,,,,,,,,,,
28/1/2021,Pet cristal,895,Recolección Diferenciada,,,,,,,,,,,,,,,,,
28/1/2021,Pet color,105,Recolección Diferenciada,,,,,,,,,,,,,,,,,
28/1/2021,Cartón,1719,Recolección Diferenciada,,,,,,,,,,,,,,,,,
28/1/2021,Cartón segunda,1209,Recolección Diferenciada,,,,,,,,,,,,,,,,,
28/1/2021,Diario,148,Recolección Diferenciada,,,,,,,,,,,,,,,,,
28/1/2021,Revista,165,Recolección Diferenciada,,,,,,,,,,,,,,,,,
28/1/2021,Planilla blanca,669,Recolección Diferenciada,,,,,,,,,,,,,,,,,
28/1/2021,Vidrio,2751,Recolección Diferenciada,,,,,,,,,,,,,,,,,
28/1/2021,Tapitas,45,Recolección Diferenciada,,,,,,,,,,,,,,,,,
28/1/2021,Aluminio,130,Recolección Diferenciada,,,,,,,,,,,,,,,,,
28/1/2021,Plástico,589,Recolección Diferenciada,,,,,,,,,,,,,,,,,
28/1/2021,Nylon,59,Recolección Diferenciada,,,,,,,,,,,,,,,,,
28/1/2021,Hojalata,455,Recolección Diferenciada,,,,,,,,,,,,,,,,,
28/1/2021,Descarte,2017,Recolección Diferenciada,,,,,,,,,,,,,,,,,
28/1/2021,Rechazo (basura),9567,Recolección Diferenciada,,,,,,,,,,,,,,,,,
5/2/2021,Tetra,204,Recolección Diferenciada,,,,,,,,,,,,,,,,,
5/2/2021,Pet cristal,890,Recolección Diferenciada,,,,,,,,,,,,,,,,,
5/2/2021,Pet color,102,Recolección Diferenciada,,,,,,,,,,,,,,,,,
5/2/2021,Cartón,1798,Recolección Diferenciada,,,,,,,,,,,,,,,,,
5/2/2021,Cartón segunda,1606,Recolección Diferenciada,,,,,,,,,,,,,,,,,
5/2/2021,Diario,34,Recolección Diferenciada,,,,,,,,,,,,,,,,,
5/2/2021,Revista,157,Recolección Diferenciada,,,,,,,,,,,,,,,,,
5/2/2021,Planilla blanca,650,Recolección Diferenciada,,,,,,,,,,,,,,,,,
5/2/2021,Vidrio,2820,Recolección Diferenciada,,,,,,,,,,,,,,,,,
5/2/2021,Tapitas,35,Recolección Diferenciada,,,,,,,,,,,,,,,,,
5/2/2021,Aluminio,195,Recolección Diferenciada,,,,,,,,,,,,,,,,,
5/2/2021,Plástico,458,Recolección Diferenciada,,,,,,,,,,,,,,,,,
5/2/2021,Nylon,71,Recolección Diferenciada,,,,,,,,,,,,,,,,,
5/2/2021,Hojalata,427,Recolección Diferenciada,,,,,,,,,,,,,,,,,
5/2/2021,Descarte,1498,Recolección Diferenciada,,,,,,,,,,,,,,,,,
5/2/2021,Rechazo (basura),11772,Recolección Diferenciada,,,,,,,,,,,,,,,,,
10/2/2021,Tetra,41,Puntos Verdes,,,,,,,,,,,,,,,,,
10/2/2021,Pet cristal,206,Puntos Verdes,,,,,,,,,,,,,,,,,
10/2/2021,Pet color,24,Puntos Verdes,,,,,,,,,,,,,,,,,
10/2/2021,Cartón,48,Puntos Verdes,,,,,,,,,,,,,,,,,
10/2/2021,Cartón segunda,135,Puntos Verdes,,,,,,,,,,,,,,,,,
10/2/2021,Planilla blanca,40,Puntos Verdes,,,,,,,,,,,,,,,,,
10/2/2021,Vidrio,662,Puntos Verdes,,,,,,,,,,,,,,,,,
10/2/2021,Aluminio,25,Puntos Verdes,,,,,,,,,,,,,,,,,
10/2/2021,Plástico,60,Puntos Verdes,,,,,,,,,,,,,,,,,
10/2/2021,Hojalata,84,Puntos Verdes,,,,,,,,,,,,,,,,,
10/2/2021,Rechazo (basura),263,Puntos Verdes,,,,,,,,,,,,,,,,,
12/2/2021,Tetra,136,Recolección Diferenciada,10 camiones,,,,,,,,,,,,,,,,
12/2/2021,Pet cristal,763,Recolección Diferenciada,,,,,,,,,,,,,,,,,
12/2/2021,Pet color,95,Recolección Diferenciada,,,,,,,,,,,,,,,,,
12/2/2021,Cartón,2174,Recolección Diferenciada,,,,,,,,,,,,,,,,,
12/2/2021,Cartón segunda,1377,Recolección Diferenciada,,,,,,,,,,,,,,,,,
12/2/2021,Diario,78,Recolección Diferenciada,,,,,,,,,,,,,,,,,
12/2/2021,Revista,150,Recolección Diferenciada,,,,,,,,,,,,,,,,,
12/2/2021,Planilla blanca,626,Recolección Diferenciada,,,,,,,,,,,,,,,,,
12/2/2021,Vidrio,2437,Recolección Diferenciada,,,,,,,,,,,,,,,,,
12/2/2021,Tapitas,65,Recolección Diferenciada,,,,,,,,,,,,,,,,,
12/2/2021,Aluminio,192,Recolección Diferenciada,,,,,,,,,,,,,,,,,
12/2/2021,Plástico,515,Recolección Diferenciada,,,,,,,,,,,,,,,,,
12/2/2021,Nylon,29,Recolección Diferenciada,,,,,,,,,,,,,,,,,
12/2/2021,Hojalata,501,Recolección Diferenciada,,,,,,,,,,,,,,,,,
12/2/2021,Descarte,1100,Recolección Diferenciada,,,,,,,,,,,,,,,,,
12/2/2021,Rechazo (basura),12889,Recolección Diferenciada,,,,,,,,,,,,,,,,,
19/2/2021,Tetra,138,Recolección Diferenciada,8 camiones,,,,,,,,,,,,,,,,
19/2/2021,Pet cristal,532,Recolección Diferenciada,,,,,,,,,,,,,,,,,
19/2/2021,Pet color,58,Recolección Diferenciada,,,,,,,,,,,,,,,,,
19/2/2021,Cartón,1248,Recolección Diferenciada,,,,,,,,,,,,,,,,,
19/2/2021,Cartón segunda,1412,Recolección Diferenciada,,,,,,,,,,,,,,,,,
19/2/2021,Diario,64,Recolección Diferenciada,,,,,,,,,,,,,,,,,
19/2/2021,Revista,67,Recolección Diferenciada,,,,,,,,,,,,,,,,,
19/2/2021,Planilla blanca,1385,Recolección Diferenciada,,,,,,,,,,,,,,,,,
19/2/2021,Vidrio,2210,Recolección Diferenciada,,,,,,,,,,,,,,,,,
19/2/2021,Tapitas,16,Recolección Diferenciada,,,,,,,,,,,,,,,,,
19/2/2021,Aluminio,159,Recolección Diferenciada,,,,,,,,,,,,,,,,,
19/2/2021,Plástico,400,Recolección Diferenciada,,,,,,,,,,,,,,,,,
19/2/2021,Hojalata,377,Recolección Diferenciada,,,,,,,,,,,,,,,,,
19/2/2021,Descarte,502,Recolección Diferenciada,,,,,,,,,,,,,,,,,
19/2/2021,Rechazo (basura),8500,Recolección Diferenciada,,,,,,,,,,,,,,,,,
24/2/2021,Tetra,37,Puntos Verdes,,,,,,,,,,,,,,,,,
