lp,Residuo tipo,Kg,Origen,Comentarios,,,,,,,,,,,,,,,,
23/10/2019,Hojalata,92,Puntos Verdes,,,,,,,,,,,,,,,,,
23/10/2019,Aluminio,23,Puntos Verdes,,,,,,,,,,,,,,,,,
23/10/2019,Tetra,48,Puntos Verdes,,,,,,,,,,,,,,,,,
23/10/2019,Rechazo (basura),138,Puntos Verdes,,,,,,,,,,,,,,,,,
23/10/2019,Plástico,45,Puntos Verdes,,,,,,,,,,,,,,,,,
11/11/2019,Pet cristal,203,Puntos Verdes,,,,,,,,,,,,,,,,,
11/11/2019,Pet color,45,Puntos Verdes,,,,,,,,,,,,,,,,,
11/11/2019,Plástico,39,Puntos Verdes,,,,,,,,,,,,,,,,,
11/11/2019,Cartón,154,Puntos Verdes,,,,,,,,,,,,,,,,,
11/11/2019,Diario,37,Puntos Verdes,,,,,,,,,,,,,,,,,
11/11/2019,Cartón segunda,157,Puntos Verdes,,,,,,,,,,,,,,,,,
11/11/2019,Planilla blanca,68,Puntos Verdes,,,,,,,,,,,,,,,,,
11/11/2019,Vidrio,773,Puntos Verdes,,,,,,,,,,,,,,,,,
11/11/2019,Hojalata,75,Puntos Verdes,,,,,,,,,,,,,,,,,
11/11/2019,Aluminio,19,Puntos Verdes,,,,,,,,,,,,,,,,,
11/11/2019,Tetra,54,Puntos Verdes,,,,,,,,,,,,,,,,,
11/11/2019,Rechazo (basura),312,Puntos Verdes,,,,,,,,,,,,,,,,,
11/11/2019,Plástico,62,Puntos Verdes,,,,,,,,,,,,,,,,,
25/11/2019,Pet cristal,228,Puntos Verdes,,,,,,,,,,,,,,,,,
25/11/2019,Pet color,42,Puntos Verdes,,,,,,,,,,,,,,,,,
25/11/2019,Plástico,39,Puntos Verdes,,,,,,,,,,,,,,,,,
25/11/2019,Cartón,140,Puntos Verdes,,,,,,,,,,,,,,,,,
25/11/2019,Diario,33,Puntos Verdes,,,,,,,,,,,,,,,,,
25/11/2019,Revista,30,Puntos Verdes,,,,,,,,,,,,,,,,,
25/11/2019,Cartón segunda,152,Puntos Verdes,,,,,,,,,,,,,,,,,
25/11/2019,Planilla blanca,143,Puntos Verdes,,,,,,,,,,,,,,,,,
25/11/2019,Vidrio,789,Puntos Verdes,,,,,,,,,,,,,,,,,
25/11/2019,Hojalata,43,Puntos Verdes,,,,,,,,,,,,,,,,,
25/11/2019,Aluminio,16,Puntos Verdes,,,,,,,,,,,,,,,,,
25/11/2019,Tetra,54,Puntos Verdes,,,,,,,,,,,,,,,,,
25/11/2019,Nylon,53,Puntos Verdes,,,,,,,,,,,,,,,,,
25/11/2019,Rechazo (basura),100,Puntos Verdes,,,,,,,,,,,,,,,,,
25/11/2019,Plástico,67,Puntos Verdes,,,,,,,,,,,,,,,,,
25/11/2019,Tapitas,12,Puntos Verdes,,,,,,,,,,,,,,,,,
6/12/2019,Pet cristal,237,Puntos Verdes,,,,,,,,,,,,,,,,,
6/12/2019,Pet color,45,Puntos Verdes,,,,,,,,,,,,,,,,,
6/12/2019,Cartón,128,Puntos Verdes,,,,,,,,,,,,,,,,,
6/12/2019,Diario,49,Puntos Verdes,,,,,,,,,,,,,,,,,
6/12/2019,Revista,548,Puntos Verdes,,,,,,,,,,,,,,,,,
6/12/2019,Cartón segunda,136,Puntos Verdes,,,,,,,,,,,,,,,,,
6/12/2019,Planilla blanca,143,Puntos Verdes,,,,,,,,,,,,,,,,,
6/12/2019,Vidrio,676,Puntos Verdes,,,,,,,,,,,,,,,,,
6/12/2019,Hojalata,42,Puntos Verdes,,,,,,,,,,,,,,,,,
6/12/2019,Aluminio,16,Puntos Verdes,,,,,,,,,,,,,,,,,
6/12/2019,Tetra,40,Puntos Verdes,,,,,,,,,,,,,,,,,
6/12/2019,Rechazo (basura),357,Puntos Verdes,,,,,,,,,,,,,,,,,
6/12/2019,Plástico,72,Puntos Verdes,,,,,,,,,,,,,,,,,
14/1/2020,Tetra,25,Puntos Verdes,,,,,,,,,,,,,,,,,
14/1/2020,Pet Cristal,193,Puntos Verdes,,,,,,,,,,,,,,,,,
14/1/2020,Pet Color,37,Puntos Verdes,,,,,,,,,,,,,,,,,
14/1/2020,Cartón,123,Puntos Verdes,,,,,,,,,,,,,,,,,
14/1/2020,Cartón segunda,87,Puntos Verdes,,,,,,,,,,,,,,,,,
14/1/2020,Diario,43,Puntos Verdes,,,,,,,,,,,,,,,,,
14/1/2020,Revista,53,Puntos Verdes,,,,,,,,,,,,,,,,,
14/1/2020,Planilla blanca,145,Puntos Verdes,,,,,,,,,,,,,,,,,
14/1/2020,Vidrio,587,Puntos Verdes,,,,,,,,,,,,,,,,,
14/1/2020,Tapitas,13,Puntos Verdes,,,,,,,,,,,,,,,,,
14/1/2020,Aluminio,13,Puntos Verdes,,,,,,,,,,,,,,,,,
14/1/2020,Plástico,52,Puntos Verdes,,,,,,,,,,,,,,,,,
14/1/2020,Hojalata,52,Puntos Verdes,,,,,,,,,,,,,,,,,
14/1/2020,Pet Cristal,193,Puntos Verdes,,,,,,,,,,,,,,,,,
